step,t_s,pn,pe,pd,vn,ve,vd,err_pos_m,update_ok
117,1.180,-1649.0663,258.5559,-568.2275,-288.9133,-117.1136,-747.0387,1769.1262,0
118,1.190,-1651.9554,257.3848,-575.6979,-288.9133,-117.1136,-747.0387,1774.1106,0
119,1.200,-1654.8446,256.2137,-583.1683,-288.9133,-117.1136,-747.0387,1779.1176,0
120,1.210,-1657.7338,255.0425,-590.6387,-288.9133,-117.1136,-747.0387,1784.1470,0
121,1.220,-1660.6229,253.8714,-598.1091,-288.9133,-117.1136,-747.0387,1789.1989,0
122,1.230,-1663.5121,252.7002,-605.5795,-288.9133,-117.1136,-747.0387,1794.2729,0
123,1.240,-1666.4012,251.5291,-613.0499,-288.9133,-117.1136,-747.0387,1799.3689,0
124,1.250,-1669.2904,250.3579,-620.5203,-288.9133,-117.1136,-747.0387,1804.4866,0
125,1.260,-1672.1796,249.1868,-627.9907,-288.9133,-117.1136,-747.0387,1809.6260,0
126,1.270,-1675.0687,248.0157,-635.4611,-288.9133,-117.1136,-747.0387,1814.7867,0
127,1.280,-1677.9579,246.8445,-642.9315,-288.9133,-117.1136,-747.0387,1819.9689,0
128,1.290,-1680.8470,245.6734,-650.4019,-288.9133,-117.1136,-747.0387,1825.1720,0
129,1.300,-1683.7362,244.5022,-657.8723,-288.9133,-117.1136,-747.0387,1830.3958,0
130,1.310,-1686.6254,243.3311,-665.3427,-288.9133,-117.1136,-747.0387,1835.6405,0
131,1.320,-1689.5145,242.1599,-672.8130,-288.9133,-117.1136,-747.0387,1840.9058,0
132,1.330,-1692.4037,240.9888,-680.2834,-288.9133,-117.1136,-747.0387,1846.1912,0
133,1.340,-1695.2928,239.8177,-687.7538,-288.9133,-117.1136,-747.0387,1851.4968,0
134,1.350,-1698.1820,238.6465,-695.2242,-288.9133,-117.1136,-747.0387,1856.8225,0
135,1.360,-1701.0712,237.4754,-702.6946,-288.9133,-117.1136,-747.0387,1862.1680,0
136,1.370,-1703.9603,236.3042,-710.1650,-288.9133,-117.1136,-747.0387,1867.5331,0
137,1.380,-1706.8495,235.1331,-717.6354,-288.9133,-117.1136,-747.0387,1872.9177,0
138,1.390,-1709.7386,233.9619,-725.1058,-288.9133,-117.1136,-747.0387,1878.3218,0
139,1.400,-1712.6278,232.7908,-732.5762,-288.9133,-117.1136,-747.0387,1883.7448,0
140,1.410,-1715.5170,231.6197,-740.0466,-288.9133,-117.1136,-747.0387,1889.1869,0
141,1.420,-1718.4061,230.4485,-747.5170,-288.9133,-117.1136,-747.0387,1894.6478,0
142,1.430,-1721.2953,229.2774,-754.9874,-288.9133,-117.1136,-747.0387,1900.1273,0
143,1.440,-1724.1844,228.1062,-762.4578,-288.9133,-117.1136,-747.0387,1905.6255,0
144,1.450,-1727.0736,226.9351,-769.9282,-288.9133,-117.1136,-747.0387,1911.1418,0
145,1.460,-1729.9628,225.7639,-777.3986,-288.9133,-117.1136,-747.0387,1916.6764,0
146,1.470,-1732.8519,224.5928,-784.8690,-288.9133,-117.1136,-747.0387,1922.2290,0
147,1.480,-1735.7411,223.4217,-792.3394,-288.9133,-117.1136,-747.0387,1927.7997,0
148,1.490,-1738.6302,222.2505,-799.8098,-288.9133,-117.1136,-747.0387,1933.3878,0
149,1.500,-1741.5194,221.0794,-807.2802,-288.9133,-117.1136,-747.0387,1938.9935,0
150,1.510,-1744.4086,219.9082,-814.7506,-288.9133,-117.1136,-747.0387,1944.6167,0
151,1.520,-1747.2977,218.7371,-822.2210,-288.9133,-117.1136,-747.0387,1950.2571,0
152,1.530,-1750.1869,217.5659,-829.6914,-288.9133,-117.1136,-747.0387,1955.9147,0
153,1.540,-1753.0760,216.3948,-837.1618,-288.9133,-117.1136,-747.0387,1961.5891,0
154,1.550,-1755.9652,215.2237,-844.6322,-288.9133,-117.1136,-747.0387,1967.2804,0
155,1.560,-1758.8544,214.0525,-852.1026,-288.9133,-117.1136,-747.0387,1972.9884,0
156,1.570,-1761.7435,212.8814,-859.5730,-288.9133,-117.1136,-747.0387,1978.7130,0
157,1.580,-1764.6327,211.7102,-867.0434,-288.9133,-117.1136,-747.0387,1984.4539,0
158,1.590,-1767.5219,210.5391,-874.5138,-288.9133,-117.1136,-747.0387,1990.2109,0
159,1.600,-1770.4110,209.3680,-881.9842,-288.9133,-117.1136,-747.0387,1995.9841,0
160,1.610,-1773.3002,208.1968,-889.4546,-288.9133,-117.1136,-747.0387,2001.7734,0
161,1.620,-1776.1893,207.0257,-896.9250,-288.9133,-117.1136,-747.0387,2007.5785,0
162,1.630,-1779.0785,205.8545,-904.3954,-288.9133,-117.1136,-747.0387,2013.3990,0
163,1.640,-1781.9677,204.6834,-911.8658,-288.9133,-117.1136,-747.0387,2019.2352,0
164,1.650,-1784.8568,203.5122,-919.3362,-288.9133,-117.1136,-747.0387,2025.0869,0
165,1.660,-1787.7460,202.3411,-926.8066,-288.9133,-117.1136,-747.0387,2030.9540,0
166,1.670,-1790.6351,201.1700,-934.2770,-288.9133,-117.1136,-747.0387,2036.8359,0
167,1.680,-1793.5243,199.9988,-941.7474,-288.9133,-117.1136,-747.0387,2042.7330,0
168,1.690,-1796.4135,198.8277,-949.2178,-288.9133,-117.1136,-747.0387,2048.6453,0
169,1.700,-1799.3026,197.6565,-956.6882,-288.9133,-117.1136,-747.0387,2054.5718,0
170,1.710,-1802.1918,196.4854,-964.1586,-288.9133,-117.1136,-747.0387,2060.5132,0
171,1.720,-1805.0809,195.3142,-971.6290,-288.9133,-117.1136,-747.0387,2066.4690,0
172,1.730,-1807.9701,194.1431,-979.0994,-288.9133,-117.1136,-747.0387,2072.4395,0
173,1.740,-1810.8593,192.9720,-986.5698,-288.9133,-117.1136,-747.0387,2078.4238,0
174,1.750,-1813.7484,191.8008,-994.0402,-288.9133,-117.1136,-747.0387,2084.4226,0
175,1.760,-1816.6376,190.6297,-1001.5106,-288.9133,-117.1136,-747.0387,2090.4353,0
176,1.770,-1819.5267,189.4585,-1008.9810,-288.9133,-117.1136,-747.0387,2096.4617,0
177,1.780,-1822.4159,188.2874,-1016.4514,-288.9133,-117.1136,-747.0387,2102.5022,0
178,1.790,-1825.3051,187.1162,-1023.9218,-288.9133,-117.1136,-747.0387,2108.5562,0
179,1.800,-1828.1942,185.9451,-1031.3921,-288.9133,-117.1136,-747.0387,2114.6238,0
180,1.810,-1831.0834,184.7740,-1038.8624,-288.9133,-117.1136,-747.0387,2120.7048,0
181,1.820,-1833.9725,183.6028,-1046.3328,-288.9133,-117.1136,-747.0387,2126.7991,0
182,1.830,-1836.8617,182.4317,-1053.8031,-288.9133,-117.1136,-747.0387,2132.9062,0
183,1.840,-1839.7509,181.2605,-1061.2734,-288.9133,-117.1136,-747.0387,2139.0269,0
184,1.850,-1842.6400,180.0894,-1068.7438,-288.9133,-117.1136,-747.0387,2145.1604,0
185,1.860,-1845.5292,178.9182,-1076.2141,-288.9133,-117.1136,-747.0387,2151.3066,0
186,1.870,-1848.4183,177.7471,-1083.6844,-288.9133,-117.1136,-747.0387,2157.4658,0
187,1.880,-1851.3075,176.5760,-1091.1548,-288.9133,-117.1136,-747.0387,2163.6375,0
188,1.890,-1854.1967,175.4048,-1098.6251,-288.9133,-117.1136,-747.0387,2169.8218,0
189,1.900,-1857.0858,174.2337,-1106.0955,-288.9133,-117.1136,-747.0387,2176.0186,0
190,1.910,-1859.9750,173.0625,-1113.5658,-288.9133,-117.1136,-747.0387,2182.2275,0
191,1.920,-1862.8641,171.8914,-1121.0361,-288.9133,-117.1136,-747.0387,2188.4487,0
192,1.930,-1865.7533,170.7202,-1128.5065,-288.9133,-117.1136,-747.0387,2194.6819,0
193,1.940,-1868.6425,169.5491,-1135.9768,-288.9133,-117.1136,-747.0387,2200.9275,0
194,1.950,-1871.5316,168.3780,-1143.4471,-288.9133,-117.1136,-747.0387,2207.1846,0
195,1.960,-1874.4208,167.2068,-1150.9175,-288.9133,-117.1136,-747.0387,2213.4536,0
196,1.970,-1877.3099,166.0357,-1158.3878,-288.9133,-117.1136,-747.0387,2219.7341,0
197,1.980,-1880.1991,164.8645,-1165.8582,-288.9133,-117.1136,-747.0387,2226.0266,0
198,1.990,-1883.0883,163.6934,-1173.3285,-288.9133,-117.1136,-747.0387,2232.3306,0
199,2.000,-1885.9774,162.5222,-1180.7988,-288.9133,-117.1136,-747.0387,2238.6458,0
