step,t_s,pn,pe,pd,vn,ve,vd,range,az,el,doppler,innov_r,innov_az,innov_el,innov_dop,update_ok
87,0.880,-nan,-nan,-nan,-nan,-nan,-nan,19.5633,0.0000,-1.5524,0.5551,19.56231,-nan,nan,-nan,1
88,0.890,-nan,-nan,-nan,-nan,-nan,-nan,19.5578,0.0000,-1.5539,0.5505,19.55679,-nan,nan,-nan,1
89,0.900,-nan,-nan,-nan,-nan,-nan,-nan,19.5523,0.0000,-1.5555,0.5460,19.55130,-nan,nan,-nan,1
90,0.910,-nan,-nan,-nan,-nan,-nan,-nan,19.5469,0.0000,-1.5570,0.5414,19.54587,-nan,nan,-nan,1
91,0.920,-nan,-nan,-nan,-nan,-nan,-nan,19.5415,0.0000,-1.5585,0.5368,19.54048,-nan,nan,-nan,1
92,0.930,-nan,-nan,-nan,-nan,-nan,-nan,19.5361,0.0000,-1.5600,0.5322,19.53513,-nan,nan,-nan,1
93,0.940,-nan,-nan,-nan,-nan,-nan,-nan,19.5308,0.0000,-1.5616,0.5276,19.52983,-nan,nan,-nan,1
94,0.950,-nan,-nan,-nan,-nan,-nan,-nan,19.5256,0.0000,-1.5631,0.5230,19.52458,-nan,nan,-nan,1
95,0.960,-nan,-nan,-nan,-nan,-nan,-nan,19.5204,0.0000,-1.5646,0.5184,19.51937,-nan,nan,-nan,1
96,0.970,-nan,-nan,-nan,-nan,-nan,-nan,19.5152,0.0000,-1.5662,0.5138,19.51421,-nan,nan,-nan,1
97,0.980,-nan,-nan,-nan,-nan,-nan,-nan,19.5101,0.0000,-1.5677,0.5092,19.50909,-nan,nan,-nan,1
98,0.990,-nan,-nan,-nan,-nan,-nan,-nan,19.5050,0.0000,-1.5693,0.5046,19.50402,-nan,nan,-nan,1
99,1.000,-nan,-nan,-nan,-nan,-nan,-nan,19.5000,0.0000,-1.5708,0.5000,19.49900,-nan,nan,-nan,1
