step,t_s,pn,pe,pd,vn,ve,vd,range,az,el,doppler,innov_r,innov_az,innov_el,innov_dop,update_ok
58,0.590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7434,0.0000,-1.5085,0.6859,nan,nan,nan,nan,0
59,0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7365,0.0000,-1.5100,0.6815,nan,nan,nan,nan,0
60,0.610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7297,0.0000,-1.5115,0.6770,nan,nan,nan,nan,0
61,0.620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7230,0.0000,-1.5130,0.6726,nan,nan,nan,nan,0
62,0.630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7163,0.0000,-1.5145,0.6681,nan,nan,nan,nan,0
63,0.640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7096,0.0000,-1.5160,0.6636,nan,nan,nan,nan,0
64,0.650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7030,0.0000,-1.5175,0.6592,nan,nan,nan,nan,0
65,0.660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6964,0.0000,-1.5190,0.6547,nan,nan,nan,nan,0
66,0.670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6899,0.0000,-1.5205,0.6502,nan,nan,nan,nan,0
67,0.680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6834,0.0000,-1.5220,0.6457,nan,nan,nan,nan,0
68,0.690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6770,0.0000,-1.5235,0.6412,nan,nan,nan,nan,0
69,0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6706,0.0000,-1.5250,0.6367,nan,nan,nan,nan,0
70,0.710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6643,0.0000,-1.5265,0.6322,nan,nan,nan,nan,0
71,0.720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6580,0.0000,-1.5281,0.6277,nan,nan,nan,nan,0
72,0.730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6517,0.0000,-1.5296,0.6232,nan,nan,nan,nan,0
73,0.740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6455,0.0000,-1.5311,0.6187,nan,nan,nan,nan,0
74,0.750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6393,0.0000,-1.5326,0.6142,nan,nan,nan,nan,0
75,0.760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6332,0.0000,-1.5341,0.6097,nan,nan,nan,nan,0
76,0.770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6271,0.0000,-1.5356,0.6052,nan,nan,nan,nan,0
77,0.780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6211,0.0000,-1.5372,0.6006,nan,nan,nan,nan,0
78,0.790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6151,0.0000,-1.5387,0.5961,nan,nan,nan,nan,0
79,0.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6092,0.0000,-1.5402,0.5916,nan,nan,nan,nan,0
80,0.810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6033,0.0000,-1.5417,0.5870,nan,nan,nan,nan,0
81,0.820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5974,0.0000,-1.5432,0.5825,nan,nan,nan,nan,0
82,0.830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5916,0.0000,-1.5448,0.5779,nan,nan,nan,nan,0
83,0.840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5859,0.0000,-1.5463,0.5734,nan,nan,nan,nan,0
84,0.850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5802,0.0000,-1.5478,0.5688,nan,nan,nan,nan,0
85,0.860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5745,0.0000,-1.5493,0.5643,nan,nan,nan,nan,0
86,0.870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5689,0.0000,-1.5509,0.5597,nan,nan,nan,nan,0
87,0.880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5633,0.0000,-1.5524,0.5551,nan,nan,nan,nan,0
88,0.890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5578,0.0000,-1.5539,0.5505,nan,nan,nan,nan,0
89,0.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5523,0.0000,-1.5555,0.5460,nan,nan,nan,nan,0
90,0.910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5469,0.0000,-1.5570,0.5414,nan,nan,nan,nan,0
91,0.920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5415,0.0000,-1.5585,0.5368,nan,nan,nan,nan,0
92,0.930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5361,0.0000,-1.5600,0.5322,nan,nan,nan,nan,0
93,0.940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5308,0.0000,-1.5616,0.5276,nan,nan,nan,nan,0
94,0.950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5256,0.0000,-1.5631,0.5230,nan,nan,nan,nan,0
95,0.960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5204,0.0000,-1.5646,0.5184,nan,nan,nan,nan,0
96,0.970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5152,0.0000,-1.5662,0.5138,nan,nan,nan,nan,0
97,0.980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5101,0.0000,-1.5677,0.5092,nan,nan,nan,nan,0
98,0.990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5050,0.0000,-1.5693,0.5046,nan,nan,nan,nan,0
99,1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.5000,0.0000,-1.5708,0.5000,nan,nan,nan,nan,0
